playerID,nameFirst,nameLast,bbrefID,mlbamID,pos
banueda01,David,Bañuelos,banueda01,675915,C
hollija01,Jackson,Holliday,hollija01,702616,2B
mayoco01,Coby,Mayo,mayoco01,691723,3B
mcderch01,Chayce,McDermott,mcderch01,694646,P
povicca01,Cade,Povich,povicca01,700249,P
booseca01,Cam,Booser,booseca01,592155,P
fittsri01,Richard,Fitts,fittsri01,690916,P
gaspemi01,Mickey,Gasper,gaspemi01,681508,2B
guerrlu01,Luis,Guerrero,guerrlu01,692285,P
hornba01,Bailey,Horn,hornba01,690544,P
penroza01,Zach,Penrod,penroza01,683068,P
shugach01,Chase,Shugart,shugach01,663767,P
slateju01,Justin,Slaten,slateju01,686580,P
sogarni01,Nick,Sogard,sogarni01,686765,2B
uwasana01,Naoyuki,Uwasawa,uwasana01,683822,P
westbja02,Jamie,Westbrook,westbja02,642197,2B
alcanke01,Kevin,Alcántara,alcanke01,682634,RF
brownbe02,Ben,Brown,brownbe02,676962,P
hodgepo01,Porter,Hodge,hodgepo01,687863,P
imanash01,Shota,Imanaga,imanash01,684007,P
neelyja01,Jack,Neely,neelyja01,680891,P
vazqulu01,Luis,Vázquez,vazqulu01,676679,SS
aguiaju01,Julian,Aguiar,aguiaju01,687924,P
dunnbl01,Blake,Dunn,dunnbl01,694362,LF
hindsre01,Rece,Hinds,hindsre01,677956,RF
hurtuja01,Jacob,Hurtubise,hurtuja01,674441,LF
jordale01,Levi,Jordan,jordale01,682119,CF
kraveev01,Evan,Kravetz,kraveev01,667478,P
lowderh01,Rhett,Lowder,lowderh01,695076,P
yanger01,Eric,Yang,yanger01,687066,C
zulueyo01,Yosver,Zulueta,zulueyo01,691172,P
cantijo01,Joey,Cantillo,cantijo01,676282,P
gillico01,Connor,Gillispie,gillico01,687362,P
manzaky01,Kyle,Manzardo,manzaky01,700932,1B
martian02,Angel,Martínez,martian02,682657,CF
noeljh01,Jhonkensy,Noel,noeljh01,678877,RF
rodrijo10,Johnathan,Rodríguez,rodrijo10,671286,RF
sabroer01,Erik,Sabrowski,sabroer01,681870,P
schneda04,Daniel,Schneemann,schneda04,682177,SS
smithca06,Cade,Smith,smithca06,671922,P
waltean01,Andrew,Walters,waltean01,689958,P
amadoad01,Adael,Amador,amadoad01,691182,2B
beckjo01,Jordan,Beck,beckjo01,687597,LF
chivian01,Angel,Chivilli,chivian01,683409,P
criswje01,Jeff,Criswell,criswje01,676105,P
gordota01,Tanner,Gordon,gordota01,685299,P
halvose01,Seth,Halvorsen,halvose01,678020,P
hillja01,Jaden,Hill,hillja01,677955,P
jonesgr02,Greg,Jones,jonesgr02,675659,RF
molinan01,Anthony,Molina,molinan01,683627,P
perallu01,Luis,Peralta,perallu01,678821,P
romodr01,Drew,Romo,romodr01,691011,C
schunaa01,Aaron,Schunk,schunaa01,668845,2B
dingldi01,Dillon,Dingler,dingldi01,693307,C
hurtebr01,Brant,Hurter,hurtebr01,676428,P
jobeja01,Jackson,Jobe,jobeja01,695549,P
jungja01,Jace,Jung,jungja01,690291,3B
keithco01,Colt,Keith,keithco01,690993,2B
maddety01,Ty,Madden,maddety01,680744,P
malloju02,Justyn-Henry,Malloy,malloju02,669234,LF
monteke01,Keider,Montero,monteke01,672456,P
perezwe01,Wenceel,Pérez,perezwe01,672761,RF
sammobr01,Bryan,Sammons,sammobr01,676614,P
sweentr01,Trey,Sweeney,sweentr01,700242,SS
