yearID,teamID,playerID,first,last,games
2022,BAL,chiriro01,2022-04-08,2022-10-05,67
2022,TBA,chiriyo01,2022-09-07,2022-09-13,2
2022,MIA,chishja01,2022-04-08,2022-06-28,60
2022,TBA,choiji01,2022-04-08,2022-10-05,113
2022,TOR,cimbead01,2022-04-08,2022-10-05,77
2022,WAS,cishest01,2022-04-08,2022-10-04,69
2022,DET,cisnejo01,2022-07-21,2022-10-05,28
2022,CLE,civalaa01,2022-04-11,2022-10-05,20
2022,KCA,clarkta01,2022-04-09,2022-10-03,47
2022,CLE,claseem01,2022-04-09,2022-10-04,77
2022,NYN,claudal01,2022-09-07,2022-09-14,3
2022,WAS,claysa01,2022-04-20,2022-06-29,6
2022,NYN,claysa01,2022-08-20,2022-08-20,1
2022,LAN,cleavga01,2022-04-12,2022-07-26,4
2022,TBA,cleavga01,2022-08-27,2022-10-04,13
2022,CLE,clemeer01,2022-04-09,2022-09-19,64
2022,OAK,clemeer01,2022-09-25,2022-10-05,6
2022,DET,clemeko01,2022-05-31,2022-10-05,57
2022,SDN,clevimi01,2022-05-04,2022-10-01,23
2022,WAS,clippty01,2022-07-14,2022-08-20,4
2022,SFN,cobbal01,2022-04-12,2022-10-04,28
2022,KCA,colemdy01,2022-04-09,2022-10-03,68
2022,NYA,colege01,2022-04-08,2022-10-04,33
2022,TOR,colliza01,2022-04-11,2022-07-29,26
2022,PIT,colliza01,2022-09-13,2022-09-30,10
2022,COL,colomal01,2022-04-09,2022-09-30,53
2022,MIN,contrma01,2022-05-11,2022-10-03,28
2022,PIT,contrro01,2022-04-09,2022-10-02,21
2022,CHN,contrwi01,2022-04-07,2022-10-04,113
2022,ATL,contrwi02,2022-04-09,2022-10-05,97
2022,PHI,coonrsa01,2022-08-19,2022-09-20,12
2022,MIA,coopega03,2022-04-08,2022-09-27,119
2022,WAS,corbipa01,2022-04-07,2022-10-02,31
2022,BOS,cordefr02,2022-04-29,2022-09-05,84
2022,MIN,correca01,2022-04-08,2022-10-04,136
2022,NYA,cortene01,2022-04-12,2022-10-01,28
2022,MIN,cottojh01,2022-04-09,2022-08-01,25
2022,SFN,cottojh01,2022-09-22,2022-10-04,5
2022,MIN,couloda01,2022-04-08,2022-05-27,10
2022,MIL,cousija01,2022-04-07,2022-10-04,12
2022,SFN,crawfbr01,2022-04-08,2022-10-05,118
2022,SEA,crawfjp01,2022-04-08,2022-10-05,145
2022,BOS,crawfku01,2022-04-08,2022-08-30,21
2022,CHA,crickky01,2022-04-08,2022-06-13,14
2022,TBA,criswco01,2022-09-12,2022-09-12,1
2022,SDN,crismna01,2022-04-10,2022-10-05,50
2022,COL,croncj01,2022-04-08,2022-10-04,150
2022,SDN,croneja01,2022-04-07,2022-10-05,158
2022,CHN,crookna01,2022-06-30,2022-07-03,4
2022,PIT,crowewi01,2022-04-07,2022-09-27,60
2022,CIN,cruzfe01,2022-09-02,2022-10-04,14
2022,ATL,cruzje01,2022-05-30,2022-06-30,7
